Name,Longitude,Latitude,Status?,Notes,Repairs
Mayafa (Maifa) village Kambia,??,??,Working,Greased and working. Replaced all but old galv pipie 2020,
Robomp Village 1,??,??,Working,New cylinder fitted. Repaired one of three wells 2020,
Robomp Village 2,??,??,Working,"Replaced pipe, bearing and cylinder",
Sanama (Samana),9.19255,-12.66043,No well,No well,New well required
Samaya Village 1,9.352046228,-12.66009154,Working,New cylinder. Working 2022,
Samaya Village 2,??,??,Working,New cylinder and chain. Working 2022,
Wonkifor Line ,9.325720373,-12.67519383,Working,"Chain, pipe, and rod carried out by Pastor before our arrival. Working 2022",
Wonkifor 2,9.332894599,-12.66874188,Maintenance,"Chain, cylinder, 5 pipie and rod. Working in 2022",Cover needs replacing
Wonkifor 1,??,??,Working,"Cylinder, pipe, and rod. Working 2022",
Wonkifor Primary School,??,??,Working,Repaired Jan 2023. Working 2023,
Yeabaya Town River (Yibaia),9.3048,-12.60218,Working,Greased and working. New set 2020. Working 2023,
Yeabaya Town (Yibeya) 1,??,??,Working,New bearings and handle. New set 2020.,
Yeabaya Town (Yibeya) 2 (Top),??,??,Maintenance,Rod shortened to improve stroke. New pump set 2020. Working 2023,Needs cement cover
Yeabaya Town (Yibeya) 3 (Top Right),??,??,Maintenance,Changed bearings and a full set of pipes,Well needs to be deepened
Yeabaya Town (Yibeya) Clinic,??,??,Maintenance,Manual pump working. Well dry. Solar electric pump fitted awaiting water,Needs cement cover
